time(s),ADRC y best
4.26,0.99655
4.265,0.996618
4.27,0.996685
4.275,0.996751
4.28,0.996818
4.285,0.996884
4.29,0.99695
4.295,0.997015
4.3,0.99708
4.305,0.997145
4.31,0.997209
4.315,0.997273
4.32,0.997337
4.325,0.9974
4.33,0.997463
4.335,0.997525
4.34,0.997587
4.345,0.997649
4.35,0.99771
4.355,0.997771
4.36,0.997831
4.365,0.997891
4.37,0.997951
4.375,0.99801
4.38,0.998068
4.385,0.998127
4.39,0.998184
4.395,0.998242
4.4,0.998299
4.405,0.998355
4.41,0.998411
4.415,0.998467
4.42,0.998522
4.425,0.998576
4.43,0.99863
4.435,0.998684
4.44,0.998737
4.445,0.99879
4.45,0.998842
4.455,0.998894
4.46,0.998945
4.465,0.998996
4.47,0.999046
4.475,0.999096
4.48,0.999145
4.485,0.999194
4.49,0.999243
4.495,0.99929
4.5,0.999338
4.505,0.999385
4.51,0.999431
4.515,0.999477
4.52,0.999522
4.525,0.999567
4.53,0.999611
4.535,0.999655
4.54,0.999698
4.545,0.999741
4.55,0.999783
4.555,0.999825
4.56,0.999866
4.565,0.999907
4.57,0.999947
4.575,0.999987
4.58,1.00003
4.585,1.00006
4.59,1.0001
4.595,1.00014
4.6,1.00018
4.605,1.00021
4.61,1.00025
4.615,1.00029
4.62,1.00032
4.625,1.00036
4.63,1.00039
4.635,1.00042
4.64,1.00046
4.645,1.00049
4.65,1.00052
4.655,1.00055
4.66,1.00058
4.665,1.00061
4.67,1.00064
4.675,1.00067
4.68,1.0007
4.685,1.00073
4.69,1.00076
4.695,1.00079
4.7,1.00081
4.705,1.00084
4.71,1.00087
4.715,1.00089
4.72,1.00092
4.725,1.00094
4.73,1.00097
4.735,1.00099
4.74,1.00101
4.745,1.00104
4.75,1.00106
4.755,1.00108
4.76,1.0011
4.765,1.00112
4.77,1.00114
4.775,1.00116
4.78,1.00118
4.785,1.0012
4.79,1.00122
4.795,1.00124
4.8,1.00126
4.805,1.00128
4.81,1.00129
4.815,1.00131
4.82,1.00133
4.825,1.00134
4.83,1.00136
4.835,1.00137
4.84,1.00139
4.845,1.0014
4.85,1.00141
4.855,1.00143
4.86,1.00144
4.865,1.00145
4.87,1.00146
4.875,1.00147
4.88,1.00149
4.885,1.0015
4.89,1.00151
4.895,1.00152
4.9,1.00153
4.905,1.00154
4.91,1.00154
4.915,1.00155
4.92,1.00156
4.925,1.00157
4.93,1.00158
4.935,1.00158
4.94,1.00159
4.945,1.0016
4.95,1.0016
4.955,1.00161
4.96,1.00161
4.965,1.00162
4.97,1.00162
4.975,1.00163
4.98,1.00163
4.985,1.00163
4.99,1.00164
4.995,1.00164
5,1.00164
5.005,1.00165
5.01,1.00165
5.015,1.00165
5.02,1.00165
5.025,1.00165
5.03,1.00165
5.035,1.00165
5.04,1.00165
